OBJECTID,ProjectID,NumCluster,FMU,District,Area_ha,MNRF_AS_YR,YRDEP,DepletionFU,YRORG,SILVSYS,SGR,TargetFU,TargetSpc,TargetSO,SFL_Name,SFL_AsMethod,SFL_AS_YR,SFL_SPCOMP,SFL_SO,SFL_FU,SFL_EffDens,Comment,IS_TEST,SHAPE_Length,SHAPE_Area,Contact,lat,lon,ORG_ProjectID
62,TIM-LOVELAND-169,30,Romeo Malette,Timmins,9.0597172,2022,2010,SB1,,CC,SB1-Extn1-SB1,SB1,,,,,2021,SB  50BF  30LA  20,0.7000000,SF1,,,N,1606.561513992193568,90597.168931328313192,"Andrew Corston, Samantha O'Donnell",48.6810112,-81.6330719,TIM-Loveland-169
63,TIM-COTE-16,30,Romeo Malette,Timmins,10.4768648,2022,2008,SF1,,CC,SF1-111-SF1-E1,SB1,,,,,2021,SB  50BF  50,0.7000000,SF1,,,N,2231.717316077830219,104768.645721016335301,"Andrew Corston, Samantha O'Donnell",48.5969391,-81.7496262,TIM-Cote-16
64,TIM-COTE-9,74,Romeo Malette,Timmins,86.1144867,2022,2008,SB1,,CC,SB1-111-SB1-E1,SB1,,,,,2021,SB  60BF  30CE  10,0.7000000,SF1,,,N,7914.352917851862912,861144.864887984353118,"Andrew Corston, Samantha O'Donnell",48.6072006,-81.7547989,TIM-Cote-9
65,TIM-DOYLE-917,30,Romeo Malette,Timmins,15.6598969,2022,2013,BW1,,CC,BW1-Extn1-BW1,SP1,,,,,2021,SX  70PX  10BF  10BW  10,0.6000000,SP1,,,N,2664.577836846708578,156598.966477882000618,"Andrew Corston, Samantha O'Donnell",48.1253662,-81.5520248,TIM-Doyle-917
66,TIM-DENTON-450,30,Romeo Malette,Timmins,10.9984694,2022,2011,BW1,,CC,BW1-Extn1-BW1,SP1,,,,,2021,SX  80BF  20,0.4000000,SP1,,,N,2789.505801194170090,109984.692233355992357,"Andrew Corston, Samantha O'Donnell",48.3061867,-81.7114639,TIM-Denton-450
67,TIM-SEWELL-634,30,Romeo Malette,Timmins,12.5804071,2022,2013,SP1,,CC,SP1-Basc2-PJ2,SP1,,,,,2021,SX  80BF  20,0.5000000,SP1,,,N,2571.383194227376862,125804.070526764262468,"Andrew Corston, Samantha O'Donnell",48.2630959,-81.8949203,TIM-Sewell-634
68,TIM-CHILDERHOSE-1261,43,Romeo Malette,Timmins,42.3254128,2022,2012,SF1,,CC,SF1-323-SF1-I1,SP1,,,,,2021,SX  90BF  10,0.5000000,SP1,,,N,4575.612831249090050,423254.112280750297941,"Andrew Corston, Samantha O'Donnell",48.1616402,-81.7026978,TIM-Childerhose-1261
69,TIM-DOYLE-922,30,Romeo Malette,Timmins,20.6625900,2022,2013,BW1,,CC,BW1-Extn1-BW1,SP1,,,,,2021,SX  90BF  10,0.6000000,SP1,,,N,2929.106891618113877,206625.906220888253301,"Andrew Corston, Samantha O'Donnell",48.1445885,-81.5529404,TIM-Doyle-922
70,TIM-INVERGARRY-1,30,Spanish,Timmins,12.9009333,2021,2011,MW2,,CC,MW2-REST-PWSH,PWSH,Pw,,,,2020,BF  30PW  30SB  20BW  20,0.9000000,PWST,,,N,1780.765956462829990,128405.766897329289350,Andrew Corston,47.4388809,-81.9474640,TIM-INVERGARRY-1
71,TIM-INVERGARRY-6,30,Spanish,Timmins,20.1135311,2021,2011,MW2,,CC,MW2-EXTEN-MW2,PWSH,Bw Po,,,,2020,BF  40PW  30SB  20BW  10,0.7000000,PWST,,,N,2873.773762607041135,200193.576201017131098,Andrew Corston,47.4419060,-81.9501190,TIM-INVERGARRY-6
72,TIM-INVERGARRY-21 ,30,Spanish,Timmins,20.2410240,2021,2011,BW1,,CC,BW1-INTN1-SP1,SP1,Sb Sw Pj,,,,2020,BF  50SW  40BW  10,0.6000000,SF1,,,N,3294.065503443786383,201462.682283647998702,Andrew Corston,47.4389381,-81.9580612,TIM-INVERGARRY-21 
73,TIM-INVERGARRY-69,30,Spanish,Timmins,14.5436964,2021,2011,PJ2,,CC,PJ2-INTN1-PJ1,PJ1,Pj,,,,2020,PJ  50BF  20SB  10LA  10BW  10,0.8000000,SP1,,,N,2064.726201326094269,144756.784276723832591,Andrew Corston,47.4388313,-81.9410934,TIM-INVERGARRY-69
74,TIM-MARQUETTE-80,33,Spanish,Timmins,33.2440987,2021,2011,PO1,,CC,PO1-INTN1-PJ1,PJ1,Pj,,,,2020,PJ  50SB  20BF  10LA  10PO  10,0.8000000,PJ2,,,N,5586.106665443586280,330990.838566421298310,Andrew Corston,47.1741600,-81.7816849,TIM-MARQUETTE-80
